,initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
57,56,561,1,1,1,2461.4020875907363,0.15,174692.59,2461.4020875907363
58,54,323,3,4,2,-231146.0318660896,0.34,24218.73,-212913.32468815404
59,54,309,2,4,3,-12806.915851703556,0.33,104263.74,-12806.915851703556
60,49,336,1,1,1,231441.34599615284,0.03,61816.81,231441.34599615284
61,42,319,1,1,1,130759.59859973984,0.15,157907.15,130759.59859973984
62,44,339,3,1,3,-304540.0210990801,0.12,94991.87,-304540.0210990801
63,59,339,2,1,3,90914.20617094856,0.22,376312.67,90914.20617094856
64,61,591,3,1,3,11859.406414273508,0.06,55895.78,11859.406414273508
65,52,591,1,1,1,-36269.28292974959,0.3,49733.75,-32497.980483792122
66,46,308,3,4,5,90987.8405475623,0.17,61559.74,90987.8405475623
67,39,587,3,1,1,77235.72721445581,0.02,59571.22,77235.72721445581
68,53,621,1,1,1,-103836.88056915942,0.01,37751.87,-102909.61785120452
69,38,318,2,1,5,-234147.52690218712,0.31,75290.88,-234147.52690218712
70,39,318,3,1,5,48841.01844383768,0.12,88026.35,48841.01844383768
71,56,614,1,1,1,17052.563325526007,0.1,79522.49,17052.563325526007
72,36,360,2,1,5,-41291.95872972282,0.25,73312.87,-41291.95872972282
73,35,332,1,1,1,154144.34565725044,0.12,159441.68,154144.34565725044
74,41,562,1,1,1,-60060.31403003638,0.15,21611.6,-6316.997901291172
75,53,551,3,1,3,-22383.21130112624,0.18,122493.94,-22383.21130112624
76,51,551,3,1,3,68897.18315702399,0.24,20579.23,95585.58814021634
77,46,551,2,1,5,-36004.11969600011,0.21,130420.85,-36004.11969600011
78,61,521,3,1,3,-281223.5202413987,0.09,161155.25,-281223.5202413987
79,58,578,1,1,1,295660.46547998633,0.24,63965.45,295660.46547998633
80,63,638,2,1,3,141930.75546871268,0.23,51753.44,141930.75546871268
81,58,578,1,1,1,-218667.17030405908,0.29,160078.61,-218667.17030405908
82,58,613,1,1,1,-142302.07128242185,0.17,56648.2,-142302.07128242185
83,60,656,3,1,3,23880.757771127057,0.31,69421.76,23880.757771127057
84,61,525,2,1,5,-65315.48036080689,0.2,28219.27,-65315.48036080689
85,61,545,1,1,1,-117564.03148357036,0.26,39916.74,-117564.03148357036
86,60,299,1,1,1,566626.7210408133,0.09,52771.61,566626.7210408133
87,44,304,1,1,1,58241.12243267061,0.2,104522.24,58241.12243267061
88,40,286,3,1,5,-149009.61201093585,0.07,57160.46,-149009.61201093585
89,40,336,1,1,1,68205.02537586076,0.2,95143.59,68205.02537586076
90,59,308,1,1,1,-5160.777793190488,0.05,144027.12,-5160.777793190488
91,48,302,1,1,1,-15102.0281018622,0.2,87203.32,-15102.0281018622
92,42,337,1,1,1,12453.799121462103,0.29,14758.88,76781.75784208352
93,54,621,1,1,1,-98606.17089825076,0.09,10895.86,-95774.83498783421
94,63,354,3,1,3,-141460.4576426003,0.32,21636.64,-141460.4576426003
95,46,308,1,1,1,-112742.5766807204,0.31,64365.24,-112742.5766807204
96,35,344,1,1,1,85714.04587024963,0.33,58251.76,85714.04587024963
97,61,350,3,1,3,41240.72846860808,0.12,198938.74,41240.72846860808
98,47,644,1,1,1,123068.31747253932,0.09,52899.96,123068.31747253932
99,59,613,3,1,3,-75397.65738214241,0.01,25503.55,-75397.65738214241
100,52,569,2,1,3,1848.4674081593148,0.04,54640.49,1848.4674081593148
101,48,593,3,1,5,19046.270499889462,0.25,160142.23,19046.270499889462
102,61,619,3,1,3,-52402.52717317276,0.16,113877.45,-52402.52717317276
103,39,318,3,1,3,95933.85247965416,0.05,57786.34,95933.85247965416
104,37,318,2,1,3,7424.720190636249,0.25,63316.68,7424.720190636249
105,59,593,2,1,3,137729.87877768106,0.28,37000.06,137729.87877768106
106,45,593,3,1,3,40014.55173178135,0.01,215954.02,40014.55173178135
107,58,587,1,1,1,371793.1304393215,0.23,62727.65,371793.1304393215
108,47,578,3,1,3,-99001.55058647488,0.25,28268.3,-62400.96402312549
109,63,615,3,1,3,-195721.7965811589,0.01,111729.39,-195721.7965811589
110,49,305,1,1,1,91594.17743422095,0.04,75531.16,91594.17743422095
111,49,302,1,1,1,162338.2463931727,0.13,112679.4,162338.2463931727
112,49,294,1,1,1,192751.98608077937,0.07,32318.91,207727.74572843994
113,62,621,2,1,3,33630.11407302681,0.1,125234.53,33630.11407302681
114,59,578,1,1,1,24171.20366299901,0.14,110307.02,24171.20366299901
115,52,625,2,1,5,256293.80563946,0.01,57453.19,256293.80563946
116,47,660,1,1,1,-126034.98436208656,0.18,29245.92,-77779.39565840235
117,53,569,2,1,3,45757.19302455328,0.18,77382.99,45757.19302455328
118,51,594,1,1,1,-33427.59410116461,0.09,80367.6,-33427.59410116461
119,61,621,1,1,1,100153.81049732308,0.02,88950.05,100153.81049732308
120,60,656,1,1,1,-88379.62579785292,0.07,43351.34,-88379.62579785292
121,48,295,2,1,3,-224387.47380531963,0.33,102636.11,-224387.47380531963
122,48,316,3,1,4,-23648.75344788534,0.35,44450.44,-23648.75344788534
123,52,551,3,1,3,13119.787106220894,0.19,90855.46,13119.787106220894
124,61,572,2,1,3,-100762.9845913296,0.29,84754.5,-100762.9845913296
125,61,234,2,3,3,37497.14759878947,0.32,29860.2,37497.14759878947
126,46,320,3,1,5,-128427.9618024882,0.05,70151.9,-128427.9618024882
127,42,320,3,1,3,-141939.99621777798,0.06,53562.48,-141939.99621777798
128,39,345,2,1,5,111441.6532049696,0.1,60305.96,111441.6532049696
129,52,281,1,1,1,-185846.0331145129,0.28,58115.38,-185846.0331145129
130,47,336,1,1,1,78009.97737503791,0.26,99067.06,78009.97737503791
131,43,286,1,1,1,-125129.87124045928,0.0,51966.2,-125129.87124045928
132,45,660,3,1,5,141408.59409807788,0.24,53886.98,141408.59409807788
133,51,294,1,1,1,-103227.75913656502,0.26,23442.32,-70736.00407592497
134,48,647,2,1,3,268609.7489375139,0.23,73566.19,268609.7489375139
135,43,647,3,1,3,-101251.57768616812,0.12,85494.99,-101251.57768616812
136,62,551,1,1,1,81473.81949865304,0.01,109908.68,81473.81949865304
137,55,616,2,1,3,-27932.26234443296,0.2,30310.7,-20925.882682482214
138,60,591,1,1,1,14841.9098354652,0.22,94887.7,14841.9098354652
139,56,578,3,1,3,-80557.92261113154,0.05,26025.03,-79114.16789263161
140,41,313,1,1,1,41117.70627242291,0.33,114119.75,41117.70627242291
141,44,343,1,1,1,-110688.9967095426,0.34,157461.39,-110688.9967095426
142,56,614,3,1,3,71227.91380542977,0.07,22644.36,73417.75427311915
143,42,301,1,1,1,-121148.04553647494,0.25,123353.9,-121148.04553647494
144,36,309,1,1,1,-283621.484612912,0.35,48445.99,-263410.59598817094
145,38,309,1,1,1,-89224.19803506618,0.04,88139.92,-89224.19803506618
146,56,309,2,1,3,34649.310858522986,0.32,69145.72,34649.310858522986
147,39,309,3,1,5,-143656.70286273304,0.27,32475.48,-104176.59873717467
148,59,616,2,1,2,8308.1430673426,0.14,164074.42,8308.1430673426
149,63,579,3,1,3,-19851.525100317973,0.02,36641.65,-19851.525100317973
150,43,579,2,1,3,110978.578445517,0.1,11150.01,126525.08975254031
151,56,666,1,1,1,-92243.11306176538,0.21,50002.81,-91107.24818357069
152,44,666,3,1,5,169697.1079381156,0.02,60947.42,169697.1079381156
153,41,328,1,1,1,32657.40996676645,0.13,38868.96,79873.33641306905
154,38,328,1,1,1,-3020.0150899846744,0.13,63013.24,-3020.0150899846744
155,42,591,1,1,1,-64389.0430594834,0.2,19861.26,-4003.7468737885574
156,48,660,1,1,1,-274492.0067383053,0.06,43646.5,-265832.3956381414
157,40,300,3,1,2,74757.44698667098,0.13,53896.68,74757.44698667098
158,41,300,2,1,5,-157394.15669368842,0.26,74255.69,-157394.15669368842
159,63,663,3,1,3,-105870.1895272634,0.08,42006.6,-105870.1895272634
160,60,614,1,1,1,62668.138839211264,0.02,101508.46,62668.138839211264
161,56,550,2,1,3,634590.6708282295,0.23,140292.64,634590.6708282295
162,52,587,3,1,3,-301269.1922862795,0.01,48102.79,-301269.1922862795
163,62,278,3,1,3,-34827.19201069689,0.1,77767.88,-34827.19201069689
164,40,345,1,1,1,70789.52191176618,0.07,111472.45,70789.52191176618
165,57,359,2,4,3,52285.80463702983,0.01,95411.43,52285.80463702983
166,50,317,3,1,3,7417.363575260744,0.16,84297.0,7417.363575260744
167,47,315,1,1,1,-123906.24690713736,0.29,65756.83,-123906.24690713736
168,63,656,1,1,1,62001.81409711784,0.31,120827.57,62001.81409711784
169,53,621,3,1,5,-91037.871744777,0.01,20949.18,-90264.8059894034
170,60,656,3,1,3,234119.84024046463,0.18,106481.19,234119.84024046463
171,57,551,1,1,1,88725.62806231248,0.02,140781.32,88725.62806231248
172,61,521,1,1,1,-12888.94858958734,0.31,29014.57,-12888.94858958734
173,50,551,3,1,5,-97233.82075859056,0.07,19770.57,-88491.15091590294
174,42,278,2,1,3,-13350.80457041318,0.34,86024.03,-13350.80457041318
175,53,331,1,1,1,21537.37814086863,0.29,55537.47,21537.37814086863
176,42,332,3,4,3,58061.34464492171,0.32,48537.79,58061.34464492171
177,38,313,3,1,2,-35402.143310300984,0.02,146662.65,-35402.143310300984
178,37,357,2,1,5,151715.25589027497,0.18,42247.37,151715.25589027497
179,55,616,2,1,3,47156.2698422152,0.17,87771.61,47156.2698422152
180,51,594,1,1,1,-61201.89511457091,0.35,23320.12,-26201.895114570907
181,45,591,3,1,3,-79096.04505367641,0.22,42604.06,-79096.04505367641
182,57,562,2,1,3,236171.9968276771,0.25,24846.6,239841.00790657126
183,57,613,1,1,1,47872.33536446839,0.02,36325.84,48230.726749011454
184,56,550,2,1,3,726941.1368131585,0.17,41008.89,726941.1368131585
185,47,593,1,1,1,489696.7837195629,0.09,88146.36,489696.7837195629
186,58,614,1,1,1,740381.6431887951,0.02,13044.17,740381.6431887951
187,38,318,1,1,1,116477.6065014968,0.04,30077.11,141721.67538758952
188,57,545,2,1,3,16467.99678445813,0.22,91619.36,16467.99678445813
189,54,561,1,1,1,77480.99346966618,0.03,120044.24,77480.99346966618
190,52,294,1,1,1,14255.68297581187,0.14,180701.58,14255.68297581187
191,51,315,1,1,1,18151.864244254142,0.13,28341.54,38060.846232759635
192,35,313,1,1,1,-55020.413722034325,0.04,140469.02,-55020.413722034325
193,57,660,1,1,1,71160.93739660742,0.07,86435.52,71160.93739660742
194,38,313,1,1,1,77018.3531855649,0.32,168009.51,77018.3531855649
195,41,300,1,1,1,94420.47725503628,0.09,12123.9,112510.16771053131
196,50,322,3,1,3,-97046.9446753114,0.06,97117.62,-97046.9446753114
197,36,306,2,1,5,7789.398865698812,0.16,94730.34,7789.398865698812
198,37,306,3,1,3,-26954.691312988783,0.16,45720.41,-26954.691312988783
199,49,338,2,1,3,-60172.45841953243,0.16,87047.13,-60172.45841953243
200,45,266,1,1,1,-107629.67983594596,0.19,133606.92,-107629.67983594596
201,50,336,1,1,1,448467.57118270645,0.31,98259.53,448467.57118270645
202,35,338,1,4,1,81187.16888335101,0.04,7315.7,88793.84613632469
203,56,578,3,1,3,10963.066074047883,0.12,110367.45,10963.066074047883
204,47,315,3,1,3,-55023.80023558719,0.08,22553.47,-38232.25599495871
205,41,315,2,1,3,19138.351018535013,0.13,33720.31,43171.544652316305
206,42,328,1,1,1,58195.93590851216,0.2,86326.63,58195.93590851216
207,58,616,2,1,5,-66794.24432638362,0.12,48719.25,-66794.24432638362
208,62,350,1,1,1,25021.72851917536,0.33,74804.85,25021.72851917536
209,48,660,2,1,3,29774.500860311487,0.31,3258.46,38125.07331429057
210,49,660,3,1,5,-39718.10504550262,0.22,34416.66,-26265.069167866757
211,51,331,3,1,3,85609.03374787928,0.27,74450.97,85609.03374787928
212,46,352,1,1,1,89115.88198097725,0.16,72442.97,89115.88198097725
213,47,567,2,1,3,26681.19872580972,0.06,79478.97,26681.19872580972
214,46,295,2,1,2,650593.3372563366,0.15,12720.97,670422.5795554732
215,51,587,1,1,1,114763.87312870266,0.01,46979.03,115398.09313883078
216,50,587,3,1,3,-91820.09719202736,0.14,15256.18,-78327.34055419506
217,54,551,3,1,2,-72022.03093471643,0.09,4243.51,-70919.33667752042
218,52,551,3,1,3,33970.87003446786,0.16,61110.34,33970.87003446786
219,55,294,1,1,1,17458.105848037885,0.14,57864.69,17458.105848037885
220,55,561,1,1,1,-108542.57872303748,0.25,175353.24,-108542.57872303748
221,58,545,2,1,5,-368455.2304815564,0.22,147944.41,-368455.2304815564
222,59,561,1,1,1,-106175.68692932502,0.24,95829.59,-106175.68692932502
223,46,308,1,1,1,440.23728343586095,0.01,56891.27,440.23728343586095
224,51,538,2,1,3,-122836.98640889474,0.08,97494.22,-122836.98640889474
225,53,538,2,1,3,59514.00203537222,0.15,38065.19,61194.50198834487
226,39,586,2,1,4,-88044.8395738676,0.21,33020.69,-51837.346193842684
227,48,578,1,1,1,93821.44981223278,0.2,74689.1,93821.44981223278
228,62,591,3,1,3,96626.70014001676,0.23,107864.87,96626.70014001676
229,63,591,1,1,1,161912.4211704895,0.19,116974.18,161912.4211704895
230,54,625,2,1,5,-35319.092950118174,0.11,94859.55,-35319.092950118174
231,61,591,1,1,1,-128849.09742590223,0.08,91259.51,-128849.09742590223
232,62,578,1,1,1,43495.48439976342,0.05,16732.14,43495.48439976342
233,35,582,2,1,5,103381.52365128926,0.31,32164.98,153318.49102793867
234,49,315,3,1,3,23423.660990911107,0.06,87559.45,23423.660990911107
235,63,613,1,1,1,193679.03293037825,0.09,57040.03,193679.03293037825
236,42,644,3,1,5,-135678.515003635,0.31,49646.7,-135678.515003635
237,43,644,2,1,3,83667.53277496307,0.13,84971.86,83667.53277496307
238,41,644,3,1,5,36069.326710338224,0.25,86905.22,36069.326710338224
239,63,617,1,1,1,-11329.887872589165,0.13,129488.31,-11329.887872589165
240,63,617,3,1,3,-163064.06865838025,0.23,67804.83,-163064.06865838025
241,47,660,1,1,1,-78272.44926069249,0.16,15238.44,-55581.75559642152
242,56,614,3,1,3,-213453.64161984625,0.05,76634.05,-213453.64161984625
243,59,587,1,1,1,14956.151011245996,0.01,113256.34,14956.151011245996
244,61,619,1,1,1,-38794.263086583785,0.34,37651.69,-38794.263086583785
245,39,318,3,1,3,6494.397835068547,0.27,61230.98,6494.397835068547
246,52,313,3,1,5,-129588.2467615828,0.18,30783.84,-116610.08321194361
247,51,551,3,1,3,19029.55437766952,0.15,51518.36,19029.55437766952
248,49,244,1,1,1,155551.47494866466,0.09,58934.54,155551.47494866466
249,53,551,1,1,1,238117.18968173448,0.3,12128.96,251544.66076790064
250,47,530,2,1,3,76260.40369285627,0.34,48731.76,76260.40369285627
251,53,344,1,2,1,-166212.05093496584,0.1,147362.33,-166212.05093496584
252,40,617,2,1,5,-434750.3402374457,0.0,83830.82,-434750.3402374457
253,40,329,3,1,3,25779.912378864967,0.34,83473.1,25779.912378864967
254,45,336,1,1,1,-130434.70575222936,0.16,121122.01,-130434.70575222936
255,53,301,1,1,1,-166634.7944530859,0.08,38815.39,-159556.8400308506
256,56,316,2,1,2,38981.59201172336,0.3,91818.23,38981.59201172336
257,50,304,1,1,1,-103524.90130094445,0.29,102214.15,-103524.90130094445
258,38,301,1,1,1,124756.04376335394,0.14,53199.26,124756.04376335394
259,47,341,1,1,1,-151945.15167919674,0.04,92675.68,-151945.15167919674
260,35,315,1,1,1,58147.96515061047,0.08,117185.82,58147.96515061047
261,39,315,3,1,3,97732.98624588546,0.0,8555.79,97732.98624588546
262,37,347,2,1,5,89659.52713612258,0.1,69594.96,89659.52713612258
263,51,288,1,1,1,621080.6180962581,0.03,30197.71,625975.8979126373
264,57,293,3,1,2,-142543.5313575417,0.06,30084.0,-141861.23679583694
265,41,324,1,4,1,-100639.21801273512,0.1,43786.12,-72897.36389769978
266,55,281,1,1,1,66372.76945837958,0.02,39865.98,67336.00366009354
267,58,566,1,1,1,-56551.21720925001,0.28,12798.47,-56551.21720925001
268,58,551,3,1,3,-100655.153904391,0.05,30689.71,-100655.153904391
269,59,566,1,1,1,-120927.18353398096,0.34,18336.02,-120927.18353398096
270,35,312,1,1,1,-4757.795398838157,0.34,75884.01,-4757.795398838157
271,51,566,1,1,1,-220364.2118660948,0.34,42189.63,-204066.7725896434
272,57,551,1,1,1,-127322.91624256223,0.31,75200.96,-127322.91624256223
273,44,300,1,1,1,125012.24935493604,0.25,52244.51,125892.67909969986
274,35,337,1,1,1,4125.320732225942,0.35,10346.26,94159.3804271944
275,59,551,3,1,3,81749.39001199297,0.31,63156.53,81749.39001199297
276,55,588,2,1,3,-51691.74076581283,0.08,35857.98,-50401.35498030213
277,62,564,1,1,1,14069.463058460571,0.13,5960.53,14069.463058460571
278,36,298,1,1,1,-39275.235548915065,0.31,26826.4,70724.76445108493
279,54,625,3,1,4,-167077.00076790125,0.32,59341.81,-167077.00076790125
280,56,385,2,4,3,-25182.237777407743,0.23,21436.99,-18370.686539222326
281,43,327,1,1,1,490431.8440233152,0.09,107067.02,490431.8440233152
282,63,588,3,1,3,-279468.99255383364,0.12,100852.87,-279468.99255383364
283,36,303,1,1,1,212507.27896132952,0.23,22669.1,315417.8943169435
284,53,310,2,1,3,4365.179627311174,0.27,43176.58,4365.179627311174
285,56,585,1,1,1,-76687.50259198,0.13,115776.71,-76687.50259198
286,54,545,2,1,5,10668.670791465876,0.07,59791.72,10668.670791465876
287,48,301,1,1,1,-42776.0983490568,0.01,56674.98,-42776.0983490568
288,42,286,1,1,1,-59335.26128276462,0.03,49813.22,-56555.19837423051
289,48,301,1,1,1,-43565.3252496238,0.28,19242.92,472.03358611042495
290,56,535,2,1,3,235591.96762023872,0.1,79088.86,235591.96762023872
291,56,535,3,1,3,48907.18992828699,0.08,152621.63,48907.18992828699
292,51,526,1,1,1,6622.026348388753,0.35,46060.52,16814.810832990952
293,47,294,3,1,5,59834.15437568378,0.15,82777.01,59834.15437568378
294,53,526,1,1,1,13193.098606041342,0.33,27203.52,38193.09860604134
295,42,588,2,1,5,109451.81442640508,0.07,6121.54,115979.02825102043
296,42,588,2,1,3,126344.67999872568,0.07,45251.94,126344.67999872568
297,38,301,1,1,1,-246397.6881926916,0.33,37709.43,-179646.21086963557
298,50,526,3,1,4,68296.9086503052,0.31,94159.15,68296.9086503052
299,46,300,1,1,1,138401.45916765791,0.03,36210.35,146699.44210502907
300,54,566,1,1,1,70926.68818521428,0.13,101969.84,70926.68818521428
301,48,248,1,1,1,62828.05990010226,0.07,11307.45,69371.48109930342
302,36,586,3,1,3,-260095.45141134868,0.02,26995.62,-250343.26778376597
303,41,586,2,1,3,123507.94850517112,0.25,35925.99,141211.55092060013
304,53,375,1,4,1,11884.943377088151,0.27,18441.8,30259.48353957308
305,63,625,1,1,1,276598.79118703713,0.14,146135.45,276598.79118703713
306,43,327,1,1,1,63981.73380278045,0.17,57630.81,63981.73380278045
307,56,592,1,1,1,-21356.73371809906,0.22,75750.57,-21356.73371809906
308,42,327,2,1,3,89442.35528100336,0.23,218464.46,89442.35528100336
309,38,685,2,1,3,15213.944014885476,0.05,35075.72,24758.248174913948
310,36,615,1,1,1,88925.18560864846,0.18,48466.67,109033.57385809379
311,51,625,3,1,3,84091.39549693743,0.19,61246.11,84091.39549693743
312,39,303,3,1,3,10696.80670904247,0.18,69055.24,10696.80670904247
313,53,300,1,4,1,13275.576647414808,0.04,4047.9,13873.078386609726
314,50,298,3,1,3,66153.37942340296,0.08,18930.41,75720.40322937674
315,54,310,2,1,3,-176500.6932463185,0.13,68962.83,-176500.6932463185
316,51,591,1,1,1,-247708.5997172265,0.0,13491.09,-247708.5997172265
317,44,566,2,1,5,596927.8623823457,0.0,30332.45,596927.8623823457
318,43,566,3,1,5,147872.22374847528,0.11,100832.98,147872.22374847528
319,46,529,2,1,5,-120185.0424129198,0.26,73831.05,-120185.0424129198
320,57,585,1,1,1,-261769.52816732225,0.02,34854.8,-261394.42003069352
321,45,301,1,1,1,-120704.82930860708,0.21,72216.0,-120704.82930860708
322,60,600,2,1,3,63963.6603607208,0.1,3190.42,63963.6603607208
323,45,657,2,1,5,138902.43088460105,0.2,58804.72,138902.43088460105
324,42,258,2,1,3,-268075.8639739269,0.11,163576.78,-268075.8639739269
325,44,258,3,3,5,-30174.03849919555,0.1,81455.87,-30174.03849919555
326,35,318,1,1,1,32804.57854218769,0.2,70401.35,32804.57854218769
327,63,586,1,1,1,-121730.26235176824,0.22,161118.67,-121730.26235176824
328,50,617,1,1,1,168583.90880287287,0.26,58729.14,168583.90880287287
329,43,294,1,1,1,86768.66478210689,0.03,65279.5,86768.66478210689
330,37,559,2,1,3,-189309.8152924628,0.03,31219.27,-178924.20592549883
331,52,526,1,1,1,42071.26082248847,0.24,31220.44,70868.33990331122
332,49,301,1,1,1,77075.4919742791,0.32,201701.18,77075.4919742791
333,62,497,1,1,1,65724.9258061016,0.19,51473.09,65724.9258061016
334,36,312,1,1,1,-33853.49444124648,0.07,89207.82,-33853.49444124648
335,61,265,1,1,1,31628.407449336733,0.26,60899.25,31628.407449336733
336,46,280,3,2,3,-103029.33382579136,0.06,42294.29,-103029.33382579136
337,50,273,2,1,4,-286255.75188316224,0.26,20752.6,-252170.01315555323
338,60,545,2,1,3,-273572.0997763754,0.02,144177.52,-273572.0997763754
339,49,349,1,1,1,55353.95342329539,0.14,73448.51,55353.95342329539
340,45,344,3,1,3,-125938.43660360535,0.05,84095.44,-125938.43660360535
341,41,344,2,1,3,199616.4719855535,0.12,20634.05,240666.3626800448
342,37,351,1,1,1,-156134.99332601434,0.23,47634.8,-133004.8773155701
343,43,336,3,1,3,-65252.16664561165,0.02,108656.33,-65252.16664561165
344,44,494,2,4,5,186719.76393955515,0.23,79189.41,186719.76393955515
345,50,363,1,1,1,138744.85456173166,0.3,55469.3,138744.85456173166
346,57,399,2,4,3,-6707.456422971889,0.3,45823.68,-6707.456422971889
347,54,395,3,4,3,21381.13863826985,0.25,63908.55,21381.13863826985
348,42,326,3,1,1,74495.63397385494,0.2,220440.35,74495.63397385494
349,35,310,3,1,3,-113470.98834138368,0.19,43241.23,-113470.98834138368
350,43,211,1,3,1,637190.4236497876,0.16,126434.27,637190.4236497876
351,42,303,2,1,5,237970.03012066003,0.26,103773.83,237970.03012066003
352,45,303,3,1,5,74749.1906880331,0.16,29443.75,106932.37744550538
353,40,324,2,1,3,278641.0802718428,0.01,42989.44,278641.0802718428
354,52,566,1,1,1,-227549.91950713508,0.03,188802.02,-227549.91950713508
355,52,566,1,1,1,631315.0886613143,0.04,68785.63,631315.0886613143
356,35,312,1,1,1,-83752.85956350208,0.1,24458.93,-20173.43911738089
357,46,607,2,1,3,-65961.5125990294,0.34,143516.57,-65961.5125990294
358,50,566,3,1,3,-42262.54237380959,0.23,58572.65,-42262.54237380959
359,52,300,1,4,1,1985.1268647017653,0.03,138062.76,1985.1268647017653
360,63,583,3,1,2,97134.6249281268,0.18,39773.65,97134.6249281268
361,49,563,3,1,3,64489.16411341445,0.09,62083.49,64489.16411341445
362,56,598,1,1,1,-16634.668089123497,0.2,54779.62,-16634.668089123497
363,60,625,2,1,2,22477.887654108235,0.29,37161.61,22477.887654108235
364,60,595,1,1,1,-67663.00942828038,0.19,5132.52,-67663.00942828038
365,52,592,1,1,1,263297.3903277824,0.14,16552.16,273791.1794436325
366,50,572,2,1,5,182578.8276662721,0.33,65017.72,182578.8276662721
